"pub_day","thumbnail_url","photo_page","description","author"
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1749rs09.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1749rs09.jpg/view","Brasília - Presidente Luiz Inácio Lula da Silva durante reunião da Área Social. Da esquerda para a direita, o ministro da Saúde, José Agenor Álvares da Silva, o ministro da Educação, Fernado Haddad, a ministra da Casa-Civil, Dilma Rousseff e o ministro da Secretaria-Geral da Presidência da República, Luiz Dulci.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1749rs03.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1749rs03.jpg/view","Brasília - Presidente Luiz Inácio Lula da Silva durante sanção de projeto de lei e assinatura de medida provisória que dispõe sobre incentivos fiscais a projetos esportivos.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1749rs02.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1749rs02.jpg/view","Brasília - Presidente Luiz Inácio Lula da Silva, o ministro do Esporte, Orlando Silva, o ex-ministro, Agnelo Queiroz, o presidente do Comitê Olímpico Brasileiro (COB), Carlos Arthur Nuzman, e os atletas Hortência, Robson Caetano e Bernard durante sanção de projeto de lei e medida provisória que dispõe sobre incentivos fiscais a projetos esportivos.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1654mc82.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1654mc82.jpg/view","Brasília - Polícia Rodoviária Federal faz operação de fiscalização para o período final do ano. Previsão é policiar 900 quilômetros de rodovias federais até terça-feira (2).",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1654mc45.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1654mc45.jpg/view","Brasília - Polícia Rodoviária Federal começou hoje (29) a operação de fiscalização para o período final do ano. Cerca de 900 quilômetros de rodovias federais serão policiados até 2 de janeiro de 2007.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1654mc33.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1654mc33.jpg/view","Brasília - Polícia Rodoviária Federal começou hoje (29) a operação de fiscalização para o período final do ano. Cerca de 900 quilômetros de rodovias federais serão policiados até 2 de janeiro de 2007.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1654mc26.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1654mc26.jpg/view","Brasília - Polícia Rodoviária Federal começou hoje (29) a operação de fiscalização para o período final do ano. Cerca de 900 quilômetros de rodovias federais serão policiados até 2 de janeiro de 2007.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1654mc04.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1654mc04.jpg/view","Brasília - Polícia Rodoviária Federal começou hoje (29) a operação de fiscalização para o período final do ano. Cerca de 900 quilômetros de rodovias federais serão policiados até 2 de janeiro de 2007.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1629wd92.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1629wd92.jpg/view","Brasília - Funcionários do Palácio do Planalto fazem teste de chuva em toldo colocado no parlatório, onde ficará o presidente Luiz Inácio Lula da Silva durante a posse do dia 1º de janeiro.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1629wd86.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1629wd86.jpg/view","Brasília - Funcionários do Palácio do Planalto fazem teste de chuva em toldo colocado no parlatório, onde ficará o presidente Luiz Inácio Lula da Silva durante a posse do dia 1º de janeiro.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1629wd81.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1629wd81.jpg/view","Brasília - Funcionários do Palácio do Planalto fazem teste de chuva em toldo colocado no parlatório, onde ficará o presidente Luiz Inácio Lula da Silva durante a posse do dia 1º de janeiro.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1629wd81.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1629wd81.jpg/view","Brasília - Funcionários do Palácio do Planalto fazem teste de chuva em toldo colocado no parlatório, onde ficará o presidente Luiz Inácio Lula da Silva durante a posse do dia 1º de janeiro.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1629wd61.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1629wd61.jpg/view","Brasília - Funcionários do Palácio do Planalto fazem teste de chuva em toldo colocado no parlatório, onde ficará o presidente Luiz Inácio Lula da Silva durante a posse do dia 1º de janeiro.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1400RP0022a.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1400RP0022a.jpg/view","Brasília - O presidente Luiz Inácio Lula da Silva durante reunião com os ministros da área social no Palácio do Planalto.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1400RP0013a.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1400RP0013a.jpg/view","Brasília - O presidente Luiz Inácio Lula da Silva coordena reunião com os ministros da área social no Palácio do Planalto. Participam os ministros do Desenvolvimento Social, Patrus Ananias, da Educação, Fernando Haddad, dos Direitos Humanos, Paulo Vannuchi, da Igualdade Racial, Matilde Ribeiro, das Políticas para as Mulheres, Nilcéa Freire, da Saúde, Agenor Álvares, da Casa Civil, Dilma Rousseff, e da Aqüicultura e Pesca, Altemir Gregolin, além do secretário executivo do Ministério do Desenvolvimento Agrário, Marcelo Cardona.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1400RP0005a.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1400RP0005a.jpg/view","Brasília - O presidente Luiz Inácio Lula da Silva coordena reunião com os ministros da área social no Palácio do Planalto. Participam os ministros do Desenvolvimento Social, Patrus Ananias, da Educação, Fernando Haddad, dos Direitos Humanos, Paulo Vannuchi, da Igualdade Racial, Matilde Ribeiro, das Políticas para as Mulheres, Nilcéa Freire, da Saúde, Agenor Álvares, da Casa Civil, Dilma Rousseff, e da Aqüicultura e Pesca, Altemir Gregolin, além do secretário executivo do Ministério do Desenvoilvimento Agrário, Marcelo Cardona.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1230RP011.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1230RP011.jpg/view","Brasilia - O presidente Lula, ao lado do ministro dos Esportes, Orlando Silva, e do ex-ministro Agnelo Queiroz, após sancionar projeto de lei e assinar medida provisória sobre os incentivos fiscais a projetos esportivos. ",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1230RP0021.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1230RP0021.jpg/view","Brasilia - O presidente Lula, ao lado do ministro dos Esportes, Orlando Silva, após sancionar projeto de lei e assinar medida provisória sobre os incentivos fiscais a projetos esportivos. ",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1230RP0006.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1230RP0006.jpg/view","Brasilia - O presidente Lula, ao lado do ministro dos Esportes, Orlando Silva, e do ex-ministro Agnelo Queiroz, após sancionar projeto de lei e assinar medida provisória sobre os incentivos fiscais a projetos esportivos. ",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1140EF0025a.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1140EF0025a.jpg/view","Brasília - O coordenador geral de Doenças Transmissíveis do Ministério da Saúde, Ricardo Marins, fala sobre a suspeita de que a rubéola tenha sido trazida ao Brasil por algum estrangeiro. “Esse vírus circula na Europa, e muitos países não realizam a vacinação”.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1140EF0038a.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1140EF0038a.jpg/view","Brasília - O coordenador geral de Doenças Transmissíveis do Ministério da Saúde, Ricardo Marins, fala sobre a suspeita de que a rubéola tenha sido trazida ao Brasil por algum estrangeiro. “Esse vírus circula na Europa, e muitos países não realizam a vacinação”.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1140EF0039a.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1140EF0039a.jpg/view","Brasília - O coordenador geral de Doenças Transmissíveis do Ministério da Saúde, Ricardo Marins, fala sobre a suspeita de que a rubéola tenha sido trazida ao Brasil por algum estrangeiro. “Esse vírus circula na Europa, e muitos países não realizam a vacinação”.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1120GB0038A.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1120GB0038A.jpg/view","Brasília - A passageira Irian Martins dá entrevista, antes do embaque, no Aeroporto Internacional de Brasília. ",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1120GB0044A.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1120GB0044A.jpg/view","Brasília - O Aeroporto Internacional de Brasília teve movimento normal durante toda a manhã. ",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1120GB0047A.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1120GB0047A.jpg/view","Brasília - O Aeroporto Internacional de Brasília teve movimento normal durante toda a manhã. ",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1120GB0051A.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/1120GB0051A.jpg/view","Brasília - O Aeroporto Internacional de Brasília teve movimento normal durante toda a manhã. ",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/0830EF0011a.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/0830EF0011a.jpg/view","Brasília - O coordenador de Controle Operacional da Polícia Rodoviária Federal, inspetor Alvarez de Souza Simões, dá entrevista à TV Nacional.",
"2006-12-29","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/0830EF0011a.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/29/0830EF0011a.jpg/view","Brasília - O coordenador de Controle Operacional da Polícia Rodoviária Federal, inspetor Alvarez de Souza Simões, dá entrevista à TV Nacional.",
"2006-12-28","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs28.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs28.jpg/view","Brasília - Presidente Luiz Inácio Lula Silva participa de reunião com um grupo de artistas no Palácio do Planalto.",
"2006-12-28","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs27.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs27.jpg/view","Brasília - Presidente Luiz Inácio Lula Silva, entre os ministros da Cultura, Gilberto Gil, e da Casa Civil, Dilma Rousseff, durante reunião com artistas no Palácio do Planalto.",
"2006-12-28","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs26.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs26.jpg/view","Brasília - Presidente Luiz Inácio Lula Silva, ladeado pelos ministros Gilberto Gil e Dilma Rousseff, conversa com grupo de artistas no Palácio do Planalto.",
"2006-12-28","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs25.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs25.jpg/view","Brasília - Presidente Luiz Inácio Lula Silva, ao lado dos ministros Orlando Silva e Gilberto Gil, artistas, esportistas e autoridades ligadas às areas da Cultura e do Esporte, após reunião no Palácio do Planalto.",
"2006-12-28","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs20.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs20.jpg/view","Brasília - Presidente Luiz Inácio Lula Silva cumprimenta o presidente do Comitê Olímpico Brasileiro (COB), Carlos Arthur Nuzman, após reunião com artistas e esportistas no Palácio do Planalto.",
"2006-12-28","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs19.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs19.jpg/view","Brasília - Presidente Luiz Inácio Lula Silva conversa com a atriz Marília Pera, após reunião com artistas no Palácio do Planalto.",
"2006-12-28","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs18.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs18.jpg/view","Brasília - Presidente Luiz Inácio Lula Silva, acompanhado do ministro do Esporte, Orlando Silva, após reunião com artistas, esportistas e autoridades ligadas à Cultura e ao Esporte.",
"2006-12-28","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs17.jpg/image_miniatura","http://www.agenciabrasil.gov.br/media/imagens/2006/12/28/2054rs17.jpg/view","Brasília - Presidente Luiz Inácio Lula Silva reúne-se com artistas no Palácio do Planalto. Na foto, o presidente do COB, Carlos Arthur Nuzman, as atrizes Marília Pera e Fernanda Montenegro, e o corredor Robson Caetano, entre outros artistas e esportistas que estiveram presentes.",
